Domain,Program,Target,SD
Play & Imitation Skills,Structured Play Routines,Follow a routine to build a tower,Build the tower following the model shown.
Play & Imitation Skills,Structured Play Routines,Complete a puzzle routine,Put each puzzle piece in order.
Play & Imitation Skills,Structured Play Routines,Engage in a routine of rolling and stopping a ball,Roll the ball and then stop it as I show you.
Play & Imitation Skills,Structured Play Routines,Follow a routine of sorting toys by color,Sort the toys by color as we practiced.
Play & Imitation Skills,Structured Play Routines,Complete a routine of matching shapes,Match the shapes in the order I demonstrate.
Play & Imitation Skills,Structured Play Routines,Follow a routine of turning pages in a book,Turn each page in order after I begin.
Play & Imitation Skills,Structured Play Routines,Complete a routine of stacking and knocking down blocks,Stack and then knock down the blocks as modeled.
Play & Imitation Skills,Structured Play Routines,Engage in a routine of passing a toy back and forth,Pass the toy to me and wait for it back.
Play & Imitation Skills,Structured Play Routines,Follow a routine of clapping after an action,Clap your hands when I finish the action.
Adaptive (Daily Living & Self‑Help) Skills,Self‑Feeding,Bring food to mouth using fingers,Bring the bite of food to your mouth.
Adaptive (Daily Living & Self‑Help) Skills,Self‑Feeding,Use a spoon to scoop food,Use your spoon to take food from the bowl.
Adaptive (Daily Living & Self‑Help) Skills,Self‑Feeding,Self-feed with minimal assistance,Feed yourself with the food on your plate.
Adaptive (Daily Living & Self‑Help) Skills,Self‑Feeding,Eat using appropriate grip on utensil,Hold your spoon correctly and eat.
Adaptive (Daily Living & Self‑Help) Skills,Self‑Feeding,Bring cup to mouth without spillage,Lift the cup carefully to drink.
Adaptive (Daily Living & Self‑Help) Skills,Self‑Feeding,Chew food using proper oral movements,Chew the food thoroughly before swallowing.
Adaptive (Daily Living & Self‑Help) Skills,Self‑Feeding,Request assistance when food is hard to reach,Say 'help' if you cannot reach your food.
Adaptive (Daily Living & Self‑Help) Skills,Self‑Feeding,Clean mouth with a napkin after eating,Wipe your mouth with the napkin after finishing.
Adaptive (Daily Living & Self‑Help) Skills,Self‑Feeding,Transition from pureed to mashed foods,Eat mashed foods with a spoon.
Adaptive (Daily Living & Self‑Help) Skills,Self‑Feeding,Eat finger foods independently,Pick up a finger food and eat it.
Adaptive (Daily Living & Self‑Help) Skills,Drinking from a Cup,Sip from a sippy cup,Take a small sip from your sippy cup.
Adaptive (Daily Living & Self‑Help) Skills,Drinking from a Cup,Transition from bottle to cup,Hold the cup and drink without spilling.
Adaptive (Daily Living & Self‑Help) Skills,Drinking from a Cup,Drink from an open cup with support,Sip from the open cup with a little help.
Adaptive (Daily Living & Self‑Help) Skills,Drinking from a Cup,Demonstrate controlled drinking motions,Bring the cup to your lips smoothly.
Adaptive (Daily Living & Self‑Help) Skills,Drinking from a Cup,Request refill when cup is empty,Say 'more drink' when your cup is empty.
Adaptive (Daily Living & Self‑Help) Skills,Drinking from a Cup,Maintain upright posture while drinking,Sit up straight when drinking from the cup.
Adaptive (Daily Living & Self‑Help) Skills,Drinking from a Cup,Avoid spilling by using both hands,Hold the cup with both hands to prevent spills.
Adaptive (Daily Living & Self‑Help) Skills,Drinking from a Cup,Finish a small cup independently,Drink the entire cup without assistance.
Adaptive (Daily Living & Self‑Help) Skills,Participation in Mealtime Routines,Sit appropriately at the table,Sit at the table until mealtime is over.
Adaptive (Daily Living & Self‑Help) Skills,Participation in Mealtime Routines,Wait for food to be served,Sit quietly until your food is ready.
Adaptive (Daily Living & Self‑Help) Skills,Participation in Mealtime Routines,Use utensils correctly during meals,Hold your fork and spoon as shown.
Adaptive (Daily Living & Self‑Help) Skills,Participation in Mealtime Routines,Take turns during family meal conversation,Wait for your turn to speak at the table.
Adaptive (Daily Living & Self‑Help) Skills,Participation in Mealtime Routines,Clean up after eating by putting dishes away,Place your dish in the sink when finished.
Adaptive (Daily Living & Self‑Help) Skills,Participation in Mealtime Routines,Stay seated during the entire meal,Remain seated until the meal is completely over.
Adaptive (Daily Living & Self‑Help) Skills,Participation in Mealtime Routines,Signal hunger appropriately,Use your picture card when you are hungry.
Adaptive (Daily Living & Self‑Help) Skills,Participation in Mealtime Routines,Request a preferred food item politely,Say 'please' when you want your favorite food.
Adaptive (Daily Living & Self‑Help) Skills,Participation in Mealtime Routines,Wait for food temperature approval,Wait until I say it's safe to eat.
Adaptive (Daily Living & Self‑Help) Skills,Basic Grooming Tolerance,Allow tooth brushing without resistance,Open your mouth when I bring the toothbrush.
Adaptive (Daily Living & Self‑Help) Skills,Basic Grooming Tolerance,Cooperate during hair combing,Keep still while your hair is combed.
Adaptive (Daily Living & Self‑Help) Skills,Basic Grooming Tolerance,Tolerate face washing,Let me wash your face gently.
Adaptive (Daily Living & Self‑Help) Skills,Basic Grooming Tolerance,Allow nail clipping with minimal fuss,Keep your hand still when clipping nails.
Adaptive (Daily Living & Self‑Help) Skills,Basic Grooming Tolerance,Accept ear cleaning procedures,Stay calm when your ears are cleaned.
Adaptive (Daily Living & Self‑Help) Skills,Basic Grooming Tolerance,Sit still during a bath,Remain seated safely during bath time.
Adaptive (Daily Living & Self‑Help) Skills,Basic Grooming Tolerance,Allow application of lotion,Keep your arms still while lotion is applied.
Adaptive (Daily Living & Self‑Help) Skills,Basic Grooming Tolerance,Cooperate during teeth cleaning,Open your mouth wide for teeth cleaning.
Adaptive (Daily Living & Self‑Help) Skills,Basic Grooming Tolerance,Allow a haircut with brief pauses,Sit still during the haircut and take short breaks.
Adaptive (Daily Living & Self‑Help) Skills,Simple Dressing/Undressing,Assist with removing socks,Help remove your socks when asked.
Adaptive (Daily Living & Self‑Help) Skills,Simple Dressing/Undressing,Assist with pulling off a hat,Help take off your hat when requested.
Adaptive (Daily Living & Self‑Help) Skills,Simple Dressing/Undressing,Remove easy fasteners on clothing,Take off Velcro on your jacket.
Adaptive (Daily Living & Self‑Help) Skills,Simple Dressing/Undressing,Push arms through sleeves with guidance,Insert your arms through the sleeves as directed.
Adaptive (Daily Living & Self‑Help) Skills,Simple Dressing/Undressing,Help remove shoes with supervision,Take off your shoes when I show you how.
Adaptive (Daily Living & Self‑Help) Skills,Simple Dressing/Undressing,Assist with unzipping a jacket,Help unzip your jacket when needed.
Adaptive (Daily Living & Self‑Help) Skills,Simple Dressing/Undressing,Participate in simple dressing routines,Put on your socks with assistance.
Adaptive (Daily Living & Self‑Help) Skills,Simple Dressing/Undressing,Recognize clothing items by name,Point to your shirt when I say 'shirt.'
Adaptive (Daily Living & Self‑Help) Skills,Simple Dressing/Undressing,Match clothing colors appropriately,Choose the matching pair of socks.
Adaptive (Daily Living & Self‑Help) Skills,Sleep & Nap Routine Participation,Follow a bedtime routine,Get into bed when I say 'bedtime.'
Adaptive (Daily Living & Self‑Help) Skills,Sleep & Nap Routine Participation,Wind down before sleep,Dim the lights and get quiet before nap time.
Adaptive (Daily Living & Self‑Help) Skills,Sleep & Nap Routine Participation,Follow a visual bedtime routine,Look at the picture schedule for bedtime.
Adaptive (Daily Living & Self‑Help) Skills,Sleep & Nap Routine Participation,Transition to sleep after story time,Lie down after the story is finished.
Adaptive (Daily Living & Self‑Help) Skills,Sleep & Nap Routine Participation,Respond to a gentle lullaby prompt,Listen and relax when I sing a lullaby.
Adaptive (Daily Living & Self‑Help) Skills,Sleep & Nap Routine Participation,Stay in bed for a short nap duration,Remain in bed until the timer rings.
Adaptive (Daily Living & Self‑Help) Skills,Sleep & Nap Routine Participation,Use a comfort object to settle down,Hold your blanket and get quiet.
Adaptive (Daily Living & Self‑Help) Skills,Sleep & Nap Routine Participation,Follow a routine of lights off,Turn off the light when I say 'lights out.'
Adaptive (Daily Living & Self‑Help) Skills,Cleanup & Organization,Put toys away after play,Place the toys back in the basket.
Adaptive (Daily Living & Self‑Help) Skills,Cleanup & Organization,Sort toys into designated bins,Sort the blocks into the correct bin.
Adaptive (Daily Living & Self‑Help) Skills,Cleanup & Organization,Participate in tidying up a play area,Help clear the table after play.
Adaptive (Daily Living & Self‑Help) Skills,Cleanup & Organization,Follow a visual cleanup schedule,Use the picture chart to know when to clean up.
Adaptive (Daily Living & Self‑Help) Skills,Cleanup & Organization,Place books on the shelf appropriately,Put the books on the shelf when finished.
Adaptive (Daily Living & Self‑Help) Skills,Cleanup & Organization,Organize a simple puzzle by pieces,Sort the puzzle pieces in a pile.
Adaptive (Daily Living & Self‑Help) Skills,Cleanup & Organization,Return art supplies to their container,Place the crayons back in the box.
Adaptive (Daily Living & Self‑Help) Skills,Cleanup & Organization,Respond to a cleanup song prompt,Sing along as you put toys away.
Adaptive (Daily Living & Self‑Help) Skills,Early Toileting Awareness,Indicate the need to use the toilet,Point to the toilet picture when needed.
Adaptive (Daily Living & Self‑Help) Skills,Early Toileting Awareness,Recognize bodily cues for elimination,Touch your tummy when you feel the urge.
Adaptive (Daily Living & Self‑Help) Skills,Early Toileting Awareness,Participate in a toilet routine,Sit on the potty when prompted.
Adaptive (Daily Living & Self‑Help) Skills,Early Toileting Awareness,Request a bathroom break,Say 'potty' when you need to go.
Adaptive (Daily Living & Self‑Help) Skills,Early Toileting Awareness,Follow a visual toileting schedule,Look at the toileting chart before going.
Adaptive (Daily Living & Self‑Help) Skills,Early Toileting Awareness,Assist with wiping using a wipe,Help hold the wipe when I assist.
Adaptive (Daily Living & Self‑Help) Skills,Early Toileting Awareness,Remain in the bathroom until finished,Sit quietly until I say you're done.
Adaptive (Daily Living & Self‑Help) Skills,Early Toileting Awareness,Wash hands after toileting,Wash your hands with soap after using the potty.
Motor Skills,Gross Motor Skills,Roll over from tummy to back,Roll over when I say 'roll'.
Motor Skills,Gross Motor Skills,Sit unsupported for 10 seconds,Sit by yourself until I count to ten.
Motor Skills,Gross Motor Skills,Crawl 3 feet on hands and knees,Crawl forward slowly across the room.
Motor Skills,Gross Motor Skills,Pull to stand from sitting,Stand up when I help pull you up.
Motor Skills,Gross Motor Skills,Cruise along furniture for 2 feet,Hold onto the furniture and move sideways.
Motor Skills,Gross Motor Skills,Take 3 independent steps,Walk 3 steps without help.
Motor Skills,Gross Motor Skills,Walk 5 feet independently,Walk straight across the room.
Motor Skills,Gross Motor Skills,Begin to run in a safe area,Run slowly when I say 'run.'
Motor Skills,Gross Motor Skills,Climb onto a low platform,Climb up onto this step with assistance.
Motor Skills,Gross Motor Skills,Jump with both feet off the ground,"Jump lightly when I count '1, 2, 3'."
Motor Skills,Fine Motor Skills,Reach and grasp a small toy,Reach out and grab this small toy.
Motor Skills,Fine Motor Skills,Transfer a block from one hand to the other,Pick up the block and pass it to your other hand.
Motor Skills,Fine Motor Skills,Release an object on command,Let go of the toy when I say 'drop'.
Motor Skills,Fine Motor Skills,Manipulate a textured ball with fingers,Roll the ball between your fingers.
Motor Skills,Fine Motor Skills,Pinch a small object between thumb and finger,Pick up this bead using your pinch grasp.
Motor Skills,Fine Motor Skills,Place objects into a small container,Put the blocks into the container carefully.
Motor Skills,Fine Motor Skills,Use a pincer grasp to pick up food,Pick up this small cracker using your fingers.
Motor Skills,Fine Motor Skills,Stack two small blocks,Place one block on top of another.
Motor Skills,Fine Motor Skills,Align two shapes side by side,Put the shapes next to each other on the table.
Motor Skills,Fine Motor Skills,Thread a large bead onto a string,Thread the bead onto the string with help.
Motor Skills,Pincer Grasp & Object Manipulation,Pick up a small cracker with thumb and index finger,Use your pincer grasp to pick up the cracker.
Motor Skills,Pincer Grasp & Object Manipulation,Manipulate small blocks with precision,Move the block carefully using your fingers.
Motor Skills,Pincer Grasp & Object Manipulation,Transfer a small toy between hands,Pick up the toy with one hand and give it to the other.
Motor Skills,Pincer Grasp & Object Manipulation,Hold a crayon using a pincer grasp,Grasp the crayon correctly and hold it steady.
Motor Skills,Pincer Grasp & Object Manipulation,Pick up a tiny bead and place it in a cup,Use your fingers to pick up the bead and drop it in the cup.
Motor Skills,Pincer Grasp & Object Manipulation,Isolate small objects using a pincer grip,Pick up these small pieces one at a time.
Motor Skills,Pincer Grasp & Object Manipulation,Manipulate a zipper tab using a pincer grasp,Hold the zipper tab and pull it gently.
Motor Skills,Pincer Grasp & Object Manipulation,Separate two small connected objects,Use your fingers to pull apart the pieces.
Motor Skills,Pincer Grasp & Object Manipulation,Place a small sticker onto a piece of paper,Peel and stick the sticker onto the paper.
Motor Skills,Pincer Grasp & Object Manipulation,Button a large button with a pincer grasp,Push the large button into place with your fingers.
Motor Skills,Hand‑Eye Coordination,Reach for a moving toy,Try to catch the rolling ball.
Motor Skills,Hand‑Eye Coordination,Touch a target on a wall,Touch the target when I point to it.
Motor Skills,Hand‑Eye Coordination,Follow a moving object with your eyes and hand,Track the toy with your hand as it moves.
Motor Skills,Hand‑Eye Coordination,Throw a soft ball towards a target,Toss the ball so it lands in the bucket.
Motor Skills,Hand‑Eye Coordination,Place a block into a narrow opening,Fit the block into the small opening carefully.
Motor Skills,Hand‑Eye Coordination,Guide a rolling ball with your hand,Keep the ball rolling along the path using your hand.
Motor Skills,Hand‑Eye Coordination,Catch a gently tossed beanbag,Catch the beanbag softly when I toss it.
Motor Skills,Hand‑Eye Coordination,Stack rings on a peg,Place each ring on the peg as I demonstrate.
Motor Skills,Hand‑Eye Coordination,Trace a simple line on paper,Follow the line with your finger as I trace it.
Motor Skills,Hand‑Eye Coordination,Point to a moving object on command,Track and point to the moving object when prompted.
Motor Skills,Early Scribbling & Mark Making,Make a spontaneous mark on paper,Grab a crayon and make a mark on the paper.
Motor Skills,Early Scribbling & Mark Making,Scribble in a controlled manner,Scribble on this paper following my example.
Motor Skills,Early Scribbling & Mark Making,Draw a straight line with assistance,Draw a line from one side to the other as I guide your hand.
Motor Skills,Early Scribbling & Mark Making,Produce random marks with a crayon,Make several marks on the paper freely.
Motor Skills,Early Scribbling & Mark Making,Color within the lines on a simple shape,Color inside the circle as shown.
Motor Skills,Early Scribbling & Mark Making,Hold a crayon using a mature grasp,Demonstrate a proper crayon hold as I show you.
Motor Skills,Early Scribbling & Mark Making,Draw a loop or circle with assistance,Make a circle following my model.
Motor Skills,Early Scribbling & Mark Making,Make repeated scribbles on paper,Fill the paper with scribbles for 10 seconds.
Motor Skills,Early Scribbling & Mark Making,Trace over a dotted line,Trace the dotted line carefully with your crayon.
Motor Skills,Early Scribbling & Mark Making,Create a mark to indicate choice,Draw a tick mark when I ask you to choose.
Motor Skills,Balance & Coordination Activities,Stand with minimal support for 5 seconds,Stand by yourself until I count to five.
Motor Skills,Balance & Coordination Activities,Walk along a taped line on the floor,Step carefully along the line.
Motor Skills,Balance & Coordination Activities,Balance on one foot briefly,Try to balance on one foot for a moment.
Motor Skills,Balance & Coordination Activities,Jump off a small step with support,Jump gently from this low step as I help you.
Motor Skills,Balance & Coordination Activities,Hopping in place with assistance,Hop in place when I say 'hop'.
Motor Skills,Balance & Coordination Activities,Walk up a short set of stairs with support,Climb the stairs with my hand on your shoulder.
Motor Skills,Balance & Coordination Activities,Perform a coordinated arm and leg movement,Swing your arms and legs in rhythm when prompted.
Motor Skills,Balance & Coordination Activities,Stand and reach for an object overhead,Stand tall and stretch to reach the object.
Motor Skills,Balance & Coordination Activities,Maintain balance while reaching sideways,Stand and extend your arm to grab the toy on the side.
Motor Skills,Balance & Coordination Activities,Recover balance after a gentle push,Keep your balance when I give a light nudge.
Cognitive & Pre Academic Readiness,Sustained Attention & Engagement,Focus on a toy for 10 seconds,Watch the toy for 10 seconds without interruption.
Cognitive & Pre Academic Readiness,Sustained Attention & Engagement,Maintain attention during a short video,Look at the video until it finishes.
Cognitive & Pre Academic Readiness,Sustained Attention & Engagement,Attend to a picture for 5 seconds,Look at this picture for 5 seconds.
Cognitive & Pre Academic Readiness,Sustained Attention & Engagement,Stay engaged during a simple song,Listen to the song until it ends.
Cognitive & Pre Academic Readiness,Sustained Attention & Engagement,Follow a visual stimulus for 15 seconds,Watch the moving object until it stops.
Cognitive & Pre Academic Readiness,Sustained Attention & Engagement,Maintain focus during a tactile activity,Stay focused on this sensory bag for 10 seconds.
Cognitive & Pre Academic Readiness,Sustained Attention & Engagement,Attend to a caregiver's instructions for 5 seconds,Listen carefully to what I say.
Cognitive & Pre Academic Readiness,Sustained Attention & Engagement,Concentrate during a play routine,Stay with the activity until I say 'done.'
Cognitive & Pre Academic Readiness,Sustained Attention & Engagement,Follow a short animated clip without distraction,Watch the clip until the end.
Cognitive & Pre Academic Readiness,Sustained Attention & Engagement,Maintain visual engagement during a storybook reading,Keep your eyes on the book while I read.
Cognitive & Pre Academic Readiness,Cause‑and‑Effect Learning,Activate a toy by pressing a button,Press the button to see what happens.
Cognitive & Pre Academic Readiness,Cause‑and‑Effect Learning,Discover that shaking a toy makes noise,Shake the toy to hear the sound.
Cognitive & Pre Academic Readiness,Cause‑and‑Effect Learning,Observe a reaction when an object is dropped,Drop the object and see it fall.
Cognitive & Pre Academic Readiness,Cause‑and‑Effect Learning,Press a light switch to illuminate a room,Turn on the light when I say 'light on.'
Cognitive & Pre Academic Readiness,Cause‑and‑Effect Learning,Interact with a toy that responds to touch,Touch the toy to make it react.
Cognitive & Pre Academic Readiness,Cause‑and‑Effect Learning,Combine two actions to produce a result,Push then pull the toy to see it move.
Cognitive & Pre Academic Readiness,Cause‑and‑Effect Learning,Press a series of buttons to produce a melody,Press the buttons in order to hear the song.
Cognitive & Pre Academic Readiness,Cause‑and‑Effect Learning,Discover that moving an object changes its position,Slide the object and watch it move.
Cognitive & Pre Academic Readiness,Cause‑and‑Effect Learning,Match an action to its consequence,Press the button and note the reaction.
Cognitive & Pre Academic Readiness,Cause‑and‑Effect Learning,Interact with a sensor toy for predictable output,Touch the sensor and observe the effect.
Cognitive & Pre Academic Readiness,Simple Problem‑Solving,Complete a two-piece puzzle,Fit the two pieces together as shown.
Cognitive & Pre Academic Readiness,Simple Problem‑Solving,Find a hidden object in a simple container,Look in the box and point to the hidden item.
Cognitive & Pre Academic Readiness,Simple Problem‑Solving,Match two identical shapes,Pair the two shapes that look alike.
Cognitive & Pre Academic Readiness,Simple Problem‑Solving,Sort objects by size,Place the big and small objects into separate piles.
Cognitive & Pre Academic Readiness,Simple Problem‑Solving,Choose the correct container for an object,Place the object in the matching container.
Cognitive & Pre Academic Readiness,Simple Problem‑Solving,Complete a simple shape-sorting task,Sort the shapes into the correct slots.
Cognitive & Pre Academic Readiness,Simple Problem‑Solving,Resolve a cause‑and‑effect problem using a toy,Use the toy to achieve the desired outcome.
Cognitive & Pre Academic Readiness,Simple Problem‑Solving,Select the correct tool to solve a simple task,Choose the right tool when I ask 'Which one?'
Cognitive & Pre Academic Readiness,Simple Problem‑Solving,Follow a simple sequence to solve a puzzle,Place the pieces in the order shown.
Cognitive & Pre Academic Readiness,Simple Problem‑Solving,Match objects by color and shape,Group the objects by color and shape.
Cognitive & Pre Academic Readiness,Memory & Recall Skills,Recognize a familiar caregiver's face,Point to my picture when you see it.
Cognitive & Pre Academic Readiness,Memory & Recall Skills,Recall a favorite toy from a group,Point to the toy you like best.
Cognitive & Pre Academic Readiness,Memory & Recall Skills,Remember a short sequence of actions,Repeat the sequence of claps I do.
Cognitive & Pre Academic Readiness,Memory & Recall Skills,Recall a common song after hearing a snippet,Sing back the song when I start it.
Cognitive & Pre Academic Readiness,Memory & Recall Skills,Identify familiar objects from pictures,Point to the object when I show the picture.
Cognitive & Pre Academic Readiness,Memory & Recall Skills,Remember the location of a hidden toy,Indicate where the toy is hidden after a short delay.
Cognitive & Pre Academic Readiness,Memory & Recall Skills,Repeat a simple sequence of words,"Repeat 'mommy, daddy' after me."
Cognitive & Pre Academic Readiness,Memory & Recall Skills,Recall a routine from earlier in the day,Tell me what we did after breakfast.
Cognitive & Pre Academic Readiness,Memory & Recall Skills,Identify a familiar object when it is briefly hidden,Look for the object when I cover it.
Cognitive & Pre Academic Readiness,Memory & Recall Skills,Match a spoken word with its picture,Point to the picture that matches the word.
Cognitive & Pre Academic Readiness,Sorting & Matching,Group objects by color,Sort these blocks into red and blue groups.
Cognitive & Pre Academic Readiness,Sorting & Matching,Sort objects by shape,Separate the circles from the squares.
Cognitive & Pre Academic Readiness,Sorting & Matching,Match similar objects from a set,Pair the items that look alike.
Cognitive & Pre Academic Readiness,Sorting & Matching,Arrange objects in size order,Line up the blocks from smallest to largest.
Cognitive & Pre Academic Readiness,Sorting & Matching,Match a picture card to a real object,Point to the object that matches the card.
Cognitive & Pre Academic Readiness,Sorting & Matching,Group toys by function,Sort the toys into groups by what they do.
Cognitive & Pre Academic Readiness,Sorting & Matching,Match objects with their corresponding shadows,Point to the shadow that matches the object.
Cognitive & Pre Academic Readiness,Sorting & Matching,Match a written word to a picture,Draw a line from the word to the correct picture.
Cognitive & Pre Academic Readiness,Sorting & Matching,Sort objects by texture,Separate the rough objects from the smooth ones.
Cognitive & Pre Academic Readiness,Sorting & Matching,Match a sound to its object,Identify the object that makes the sound.
Cognitive & Pre Academic Readiness,Early Literacy Engagement,Turn the pages of a book in order,Turn each page as I say 'next page.'
Cognitive & Pre Academic Readiness,Early Literacy Engagement,Identify a familiar picture in a book,Point to the picture of the dog in the book.
Cognitive & Pre Academic Readiness,Early Literacy Engagement,Listen to a short story without distraction,Sit quietly while I read a story.
Cognitive & Pre Academic Readiness,Early Literacy Engagement,Identify the title of a book from its cover,Point to the title on the book cover.
Cognitive & Pre Academic Readiness,Early Literacy Engagement,Follow a story by pointing to key pictures,Point to the pictures as the story unfolds.
Cognitive & Pre Academic Readiness,Early Literacy Engagement,Recognize a common word in a story,Point to the word 'the' when it appears.
Cognitive & Pre Academic Readiness,Early Literacy Engagement,Match a picture to its written label,Link the picture of the cat to the word 'cat.'
Cognitive & Pre Academic Readiness,Early Literacy Engagement,Identify rhyming words in a short verse,Listen and point to the word that rhymes.
Cognitive & Pre Academic Readiness,Early Literacy Engagement,Participate in a simple interactive story,Answer with a nod when I ask a question about the story.
Cognitive & Pre Academic Readiness,Early Literacy Engagement,Recall a favorite character from a story,Name the character you like best after the story.
Cognitive & Pre Academic Readiness,Emerging Numeracy,Count small sets of objects up to three,"Count these blocks with me: '1, 2, 3.'"
Cognitive & Pre Academic Readiness,Emerging Numeracy,Identify the numeral '1' when shown,Point to the numeral 1 on this card.
Cognitive & Pre Academic Readiness,Emerging Numeracy,Recognize the quantity of two objects,Point to the group that shows two items.
Cognitive & Pre Academic Readiness,Emerging Numeracy,Count aloud from 1 to 3,"Count with me: '1, 2, 3.'"
Cognitive & Pre Academic Readiness,Emerging Numeracy,Match a numeral to a set of objects,Place the card '2' next to the pair of toys.
Cognitive & Pre Academic Readiness,Emerging Numeracy,Demonstrate understanding of 'more' vs. 'less',Point to the group that has more items.
Cognitive & Pre Academic Readiness,Emerging Numeracy,Identify a missing number in a short sequence,"Fill in the blank: 1, __, 3."
Cognitive & Pre Academic Readiness,Emerging Numeracy,Match a written numeral to its spoken name,Listen and point to the numeral you hear.
Cognitive & Pre Academic Readiness,Emerging Numeracy,Recognize basic quantity concepts in simple pictures,Select the picture that shows a pair of objects.
Cognitive & Pre Academic Readiness,Pattern Recognition & Sequencing,Identify a repeating pattern,"Look at the pattern and say 'red, blue, red, blue.'"
Cognitive & Pre Academic Readiness,Pattern Recognition & Sequencing,Complete a simple color sequence,Place the next colored block in the sequence.
Cognitive & Pre Academic Readiness,Pattern Recognition & Sequencing,Rearrange objects into a sequence,Put these toys in the same order as I show you.
Cognitive & Pre Academic Readiness,Pattern Recognition & Sequencing,Identify the missing element in a sequence,Point to the missing shape in this row.
Cognitive & Pre Academic Readiness,Pattern Recognition & Sequencing,Follow a sequence of actions,Perform the actions in the order I demonstrate.
Cognitive & Pre Academic Readiness,Pattern Recognition & Sequencing,Match objects to a sequential pattern,Arrange the objects in the pattern sequence.
Cognitive & Pre Academic Readiness,Pattern Recognition & Sequencing,Repeat a short rhythm or clapping pattern,Clap back the pattern I do.
Cognitive & Pre Academic Readiness,Pattern Recognition & Sequencing,Predict the next item in a simple sequence,"Say what comes next after 'circle, square, circle, ...' "
Cognitive & Pre Academic Readiness,Pattern Recognition & Sequencing,Demonstrate understanding of positional words in a sequence,Point to the object in the middle when I say 'middle.'
Cognitive & Pre Academic Readiness,Pattern Recognition & Sequencing,Arrange pictures in a logical sequence,Put the pictures in the order of events as we discussed.
Sensory Processing & Awareness,Sensory Exploration,Explore various textures on an object,Touch and feel the texture of this fabric.
Sensory Processing & Awareness,Sensory Exploration,Investigate a new visual pattern,Look at this pattern and describe what you see.
Sensory Processing & Awareness,Sensory Exploration,Explore an object using all senses,"Use your eyes, hands, and nose to examine this toy."
Sensory Processing & Awareness,Sensory Exploration,Compare two different textures side by side,Feel both objects and tell me which is rougher.
Sensory Processing & Awareness,Sensory Exploration,Identify an object by its scent,Smell this item and tell me what it reminds you of.
Sensory Processing & Awareness,Sensory Exploration,Explore an object with auditory feedback,Shake the toy and listen to the sound it makes.
Sensory Processing & Awareness,Sensory Exploration,Interact with an object that changes appearance,Look at the toy that changes color under light.
Sensory Processing & Awareness,Sensory Exploration,Examine a translucent object in different lights,Look at the object under bright and dim light.
Sensory Processing & Awareness,Sensory Exploration,Touch and explore a variety of materials,"Feel these items: wood, fabric, and plastic."
Sensory Processing & Awareness,Sensory Exploration,Describe the difference between smooth and rough surfaces,Point out the smoother item from these choices.
Sensory Processing & Awareness,Tactile Tolerance,Touch objects with various textures without avoidance,Touch the sticky and soft toys when prompted.
Sensory Processing & Awareness,Tactile Tolerance,Accept a variety of food textures during feeding,Try the new textured food without refusal.
Sensory Processing & Awareness,Tactile Tolerance,Explore a rough surface without discomfort,Run your hand over this rough sponge.
Sensory Processing & Awareness,Tactile Tolerance,Handle clothing with different textures,Touch both a soft and a coarse fabric piece.
Sensory Processing & Awareness,Tactile Tolerance,Increase tolerance to slightly cold or warm objects,Hold this object that is a little cool to your touch.
Sensory Processing & Awareness,Tactile Tolerance,Participate in messy play with safe materials,Feel the textured playdough without resistance.
Sensory Processing & Awareness,Tactile Tolerance,Allow finger painting with various consistencies,Use your fingers to spread the paint on paper.
Sensory Processing & Awareness,Tactile Tolerance,Touch a mildly sticky object without aversion,Explore this slightly tacky material calmly.
Sensory Processing & Awareness,Tactile Tolerance,Handle water-based materials with comfort,Splash gently in the water tray when prompted.
Sensory Processing & Awareness,Tactile Tolerance,Acclimate to a slightly bumpy surface,Walk over the bumpy mat without fuss.
Sensory Processing & Awareness,Auditory Processing & Noise Tolerance,Listen to soft background sounds,Listen quietly to the gentle humming sound.
Sensory Processing & Awareness,Auditory Processing & Noise Tolerance,Respond to a moderate volume sound,Turn your head when you hear a medium sound.
Sensory Processing & Awareness,Auditory Processing & Noise Tolerance,Identify the source of a specific sound,Point to the toy when you hear its sound.
Sensory Processing & Awareness,Auditory Processing & Noise Tolerance,Increase tolerance for sudden sounds,Keep calm when I clap suddenly.
Sensory Processing & Awareness,Auditory Processing & Noise Tolerance,Discriminate between two different sounds,Tell me if you hear a bell or a whistle.
Sensory Processing & Awareness,Auditory Processing & Noise Tolerance,Follow an auditory prompt in a noisy setting,Listen for my voice even with background noise.
Sensory Processing & Awareness,Auditory Processing & Noise Tolerance,Identify a repeating sound in a busy environment,Point to the source of the repeating beep.
Sensory Processing & Awareness,Auditory Processing & Noise Tolerance,Maintain focus on a target sound,Listen for the continuous sound for 5 seconds.
Sensory Processing & Awareness,Auditory Processing & Noise Tolerance,Adjust volume of vocalizations appropriately,Speak softly when I say 'quiet voice.'
Sensory Processing & Awareness,Auditory Processing & Noise Tolerance,Demonstrate awareness of environmental sounds,Identify the sound of the doorbell from others.
Sensory Processing & Awareness,Vestibular Stimulation,Engage in gentle swinging,Sit in the swing and move gently when prompted.
Sensory Processing & Awareness,Vestibular Stimulation,Experience a rocking motion,Rock back and forth in the rocking chair.
Sensory Processing & Awareness,Vestibular Stimulation,Participate in a controlled spinning activity,Spin slowly in the chair when I say 'spin.'
Sensory Processing & Awareness,Vestibular Stimulation,Experience a gentle bouncing motion,Bounce lightly on the therapy ball when prompted.
